"Date","CrudeOil","NaturalGas","Coal","PPI"
2010-05-01,142.150183796768,141.698224592448,107.93515037594,184.8
2010-06-01,140.450753146874,140.123183446322,104.483766233766,183.5
2010-07-01,139.961842115406,139.780068128838,102.861525974026,184.1
2010-08-01,142.568926708423,141.423745804695,96.8469387755101,184.9
2010-09-01,143.083968840551,141.888937763918,100.117207792208,184.9
2010-10-01,153.571237636484,151.300622426782,103.207142857143,186.6
2010-11-01,158.914473396845,157.015462560697,112.583766233766,187.7
2010-12-01,169.325101077212,166.980586036365,123.785714285714,189.7
2011-01-01,174.282288536924,173.287528261219,140.993571428571,192.7
2011-02-01,184.097395208196,181.386069794588,134.624464285714,195.8
2011-03-01,204.41686526709,198.852064056351,135.971273291925,199.2
2011-04-01,218.822660365189,212.638711491903,131.525595238095,203.1
2011-05-01,203.621107282221,200.013908381775,127.962857142857,204.1
2011-06-01,199.350125524126,196.665946692566,128.362012987013,203.9
2011-07-01,203.225634279481,200.939241475652,128.989285714286,204.6
2011-08-01,189.496721821897,189.610102353137,127.462012987013,203.2
2011-09-01,190.27385434603,190.405523482562,130.561850649351,203.7
2011-10-01,188.44168097552,189.255322638007,127.912755102041,201.1
2011-11-01,198.509666846595,197.301608023554,122.745292207792,201.4
2011-12-01,196.307076764208,195.227778282487,118.176428571428,199.8
2012-01-01,201.320727403324,199.619066089726,123.085714285714,200.7
2012-02-01,212.379923110766,208.662278630182,124.966836734694,201.6
2012-03-01,222.028897219776,216.951967464084,114.150974025974,204.2
2012-04-01,214.3612082974,210.616088890638,110.353759398496,203.7
2012-05-01,196.283307943066,194.347354583822,103.81948051948,201.9
2012-06-01,171.016204875796,172.450887198151,92.7546992481201,199.8
2012-07-01,182.283430609851,181.011735700923,91.3641233766233,200.1
2012-08-01,198.415301528781,194.55652626843,93.456331168831,202.7
2012-09-01,200.47757790586,196.377070923725,93.181607142857,204.4
2012-10-01,195.059287167631,190.994174665909,86.885403726708,203.5
2012-11-01,190.933795008676,187.522977775237,87.2196428571427,201.8
2012-12-01,190.80976142547,188.277422133263,96.0761278195487,201.5
2013-01-01,197.909229554109,194.209661174236,96.9521103896102,202.5
2013-02-01,202.93972189907,198.629105951161,100.347321428571,204.3
2013-03-01,193.34813932794,190.646373798183,97.3167857142855,204
2013-04-01,186.213044187144,184.414468747297,93.233163265306,203.5
2013-05-01,186.97718966785,184.491530968211,93.1260204081631,204.1
2013-06-01,187.680307503208,184.950370526239,89.6426785714284,204.3
2013-07-01,197.726882899347,192.251586850836,82.222360248447,204.4
2013-08-01,203.135198956661,196.779900927518,82.2214285714284,204.2
2013-09-01,204.579080943785,198.140490404481,83.2959183673468,203.9
2013-10-01,198.47182071437,193.025517751271,85.4436335403726,202.5
2013-11-01,193.297118465653,188.95091150307,88.3632653061223,201.2
2013-12-01,198.694015537947,194.284436812835,89.4444642857142,202
2014-01-01,192.558625124661,189.042505303538,87.9735389610388,203.8
2014-02-01,197.19983674433,193.01449266139,83.0276785714285,205.7
2014-03-01,195.724627391047,190.942057936218,79.7530612244897,207
2014-04-01,197.385585773785,192.231240565064,78.5207142857142,208.3
2014-05-01,198.883987961819,193.384881382123,78.8346428571427,208
2014-06-01,203.828054265911,197.281277201424,77.348469387755,208.3
2014-07-01,197.944352994216,190.847607197727,74.0380434782607,208
2014-08-01,188.335994881309,182.986134583344,74.2483928571428,207
2014-09-01,180.440555569965,175.846799647983,71.5256493506492,206.4
2014-10-01,162.031945557677,159.773930376555,68.9846273291924,203.4
2014-11-01,144.724545454565,145.371172437985,67.3307142857142,200.9
2014-12-01,113.882108406035,119.271799768681,67.1622448979591,197
2015-01-01,89.152281889917,96.6051946978652,64.7163265306122,192
2015-02-01,103.466493453898,108.639014347128,70.659107142857,191.1
2015-03-01,99.5832698481888,104.444792186652,68.3449675324675,191.5
2015-04-01,108.122887098978,108.659902619074,61.1978571428571,190.9
2015-05-01,117.671131017525,116.361699886743,65.6712406015037,193.4
2015-06-01,115.336467810012,113.981842744588,63.1047077922077,194.8
2015-07-01,102.543056483256,102.8575084315,64.4832298136645,193.9
2015-08-01,86.137804042318,89.1214805309233,63.3932142857142,191.9
2015-09-01,87.0459580679316,89.4902778586684,61.7654220779219,189.1
2015-10-01,88.2888474218392,89.8564831181309,57.3306818181817,187.5
2015-11-01,81.0612153227667,83.1032708327139,55.7780612244897,185.7
2015-12-01,68.6027634883043,72.6554182443465,55.8658163265305,183.5
2016-01-01,56.0452971835549,60.6438988664809,53.4289285714285,182.6
2016-02-01,58.3151971639256,62.0660772713202,53.7816326530611,181.3
2016-03-01,70.0621638695157,71.4963350727842,55.4352040816325,182.1
2016-04-01,76.5086195712795,76.3547216400077,54.6586734693876,183.2
2016-05-01,86.3125317924747,84.7141337726937,54.5271428571427,185.3
2016-06-01,89.5269931270667,88.0085716209441,56.2285714285713,187.6
